date,total_cfs,baseflow_lh_cfs,baseflow_eckhardt_cfs,quickflow_lh_cfs
1995-01-01,2110.0,1788.479130859375,1688.0,321.520869140625
1995-01-02,1970.0,1807.3431960449218,1677.6296296296296,162.65680395507815
1995-01-03,1840.0,1814.6674563415527,1658.5898491083676,25.332543658447293
1995-01-04,1800.0,1800.0,1638.3500482650002,0.0
1995-01-05,1750.0,1750.0,1616.2805993515742,0.0
1995-01-06,1820.0,1752.625,1601.4398031153173,67.375
1995-01-07,4590.0,1861.553125,1793.1583398638993,2728.446875
1995-01-08,3800.0,2036.5616406249997,1908.6066417283532,1763.4383593750003
1995-01-09,2750.0,2129.4445175781248,1935.5875082349871,620.5554824218755
1995-01-10,2450.0,2164.736178759765,1937.8479241391549,285.26382124023485
1995-01-11,2330.0,2181.630965352783,1931.0101533855293,148.36903464721723
1995-01-12,2530.0,2200.258642951324,1939.6203243683506,329.7413570486759
1995-01-13,2520.0,2224.614244729975,1946.6925165564664,295.38575527002524
1995-01-14,10200.0,2534.768176375226,2521.998765023461,7665.231823624774
1995-01-15,24700.0,3653.4105631470848,4118.109990484253,21046.589436852915
1995-01-16,16700.0,4931.904770911053,4973.840546920897,11768.095229088947
1995-01-17,12500.0,5657.011913092723,5439.225681465259,6842.988086907277
1995-01-18,9000.0,6038.986019610768,5602.260340588848,2961.0139803892316
1995-01-19,6350.0,6161.6870681399605,5553.902901645436,188.3129318600395
1995-01-20,5360.0,5360.0,5360.0,0.0
1995-01-21,4650.0,4650.0,4650.0,0.0
1995-01-22,4010.0,4010.0,4010.0,0.0
1995-01-23,3640.0,3640.0,3640.0,0.0
1995-01-24,3390.0,3390.0,3390.0,0.0
1995-01-25,3170.0,3170.0,3170.0,0.0
1995-01-26,3050.0,3050.0,3050.0,0.0
1995-01-27,2930.0,2930.0,2930.0,0.0
1995-01-28,3050.0,2934.5,2884.6296296296296,115.5
1995-01-29,3250.0,2950.6625,2858.275034293553,299.3375
1995-01-30,3010.0,2964.1128125,2816.5829014885944,45.88718749999998
1995-01-31,2830.0,2830.0,2765.4178180174285,0.0
1995-02-01,2700.0,2700.0,2700.0,0.0
1995-02-02,2640.0,2640.0,2640.0,0.0
1995-02-03,2620.0,2620.0,2589.6296296296296,0.0
1995-02-04,2650.0,2621.125,2546.1454046639233,28.875
1995-02-05,2530.0,2530.0,2497.7986079357825,0.0
1995-02-06,2410.0,2410.0,2410.0,0.0
1995-02-07,2330.0,2330.0,2330.0,0.0
1995-02-08,2330.0,2330.0,2286.8518518518517,0.0
1995-02-09,2190.0,2190.0,2190.0,0.0
