date,t_min,t_max,rh_min,rh_max,u10_max_kmh,rs_mj_m2,precip_mm,u2_ms
2024-05-15,25.79,32.85,59.7,89.4,9.67,20.55,26.94,2.009
2024-05-16,24.87,34.07,64.4,91.5,13.3,17.27,28.03,2.763
2024-05-17,26.13,34.13,54.5,94.0,9.27,22.82,25.63,1.926
2024-05-18,26.28,35.29,56.2,85.8,10.74,17.12,7.88,2.231
2024-05-19,24.27,34.79,77.8,89.5,8.83,17.09,0.0,1.835
2024-05-20,24.74,34.33,57.3,95.9,8.49,20.62,3.34,1.764
2024-05-21,25.75,35.46,58.4,87.0,6.66,21.29,4.91,1.384
2024-05-22,25.45,32.82,76.0,86.7,10.29,20.34,0.0,2.138
2024-05-23,25.68,33.39,82.4,90.8,6.45,13.94,8.97,1.34
2024-05-24,25.1,33.12,58.0,93.4,11.0,20.61,9.42,2.285
2024-05-25,26.33,33.68,62.8,90.0,12.26,15.9,0.0,2.547
2024-05-26,26.27,32.71,67.0,95.3,10.1,19.71,6.63,2.098
2024-05-27,25.78,34.74,75.4,93.4,8.14,14.73,3.4,1.691
2024-05-28,26.54,33.9,59.1,93.4,10.36,20.34,1.41,2.152
2024-05-29,26.09,32.67,63.5,92.2,8.07,16.58,0.0,1.677
2024-05-30,25.17,33.14,69.7,99.0,11.81,15.15,8.97,2.454
2024-05-31,26.04,34.48,67.6,89.2,3.51,21.14,12.82,0.729
2024-06-01,25.12,35.02,62.7,82.0,7.99,19.72,0.5,1.66
2024-06-02,26.42,36.2,64.2,96.4,3.03,17.16,6.92,0.63
2024-06-03,25.78,37.13,56.8,88.2,4.51,23.35,0.0,0.937
2024-06-04,25.69,34.65,63.6,90.4,13.09,17.68,8.57,2.72
2024-06-05,25.35,33.26,63.4,95.2,11.69,19.1,0.0,2.429
2024-06-06,26.7,32.13,66.4,83.6,6.84,19.81,0.0,1.421
2024-06-07,25.74,34.54,61.7,85.0,4.49,17.14,0.0,0.933
2024-06-08,25.56,33.48,67.8,83.6,2.0,20.41,2.87,0.416
2024-06-09,25.62,33.89,71.1,86.8,7.37,17.4,0.0,1.531
2024-06-10,26.25,33.7,65.9,91.8,16.26,17.77,0.0,3.378
2024-06-11,26.14,34.19,67.1,92.1,10.3,23.09,3.47,2.14
