date,soil_moisture_mm,depletion_mm,deep_percolation_mm,irrigation_mm,irrigation_trigger,precip_mm,etc_mm,kc,stage
2024-05-15,100.0,0.0,21.65,0.0,False,26.94,5.29,1.05,initial
2024-05-16,100.0,0.0,23.12,0.0,False,28.03,4.91,1.05,initial
2024-05-17,100.0,0.0,19.8,0.0,False,25.63,5.83,1.05,initial
2024-05-18,100.0,0.0,2.68,0.0,False,7.88,5.2,1.05,initial
2024-05-19,95.7,4.3,0.0,0.0,False,0.0,4.3,1.05,initial
2024-05-20,93.77,6.23,0.0,0.0,False,3.34,5.27,1.05,initial
2024-05-21,93.25,6.75,0.0,0.0,False,4.91,5.43,1.05,initial
2024-05-22,88.33,11.67,0.0,0.0,False,0.0,4.92,1.05,initial
2024-05-23,93.82,6.18,0.0,0.0,False,8.97,3.48,1.05,initial
2024-05-24,97.87,2.13,0.0,0.0,False,9.42,5.37,1.05,initial
2024-05-25,93.18,6.82,0.0,0.0,False,0.0,4.69,1.05,initial
2024-05-26,94.91,5.09,0.0,0.0,False,6.63,4.9,1.05,initial
2024-05-27,94.43,5.57,0.0,0.0,False,3.4,3.88,1.05,initial
2024-05-28,90.46,9.54,0.0,0.0,False,1.41,5.38,1.05,initial
2024-05-29,86.1,13.9,0.0,0.0,False,0.0,4.36,1.05,initial
2024-05-30,91.02,8.98,0.0,0.0,False,8.97,4.05,1.05,initial
2024-05-31,98.87,1.13,0.0,0.0,False,12.82,4.97,1.05,initial
2024-06-01,94.17,5.83,0.0,0.0,False,0.5,5.2,1.05,initial
2024-06-02,96.82,3.18,0.0,0.0,False,6.92,4.27,1.05,initial
2024-06-03,91.09,8.91,0.0,0.0,False,0.0,5.73,1.05,initial
2024-06-04,94.57,5.43,0.0,0.0,False,8.57,5.09,1.05,initial
2024-06-05,89.57,10.43,0.0,0.0,False,0.0,5.0,1.05,initial
2024-06-06,84.7,15.3,0.0,0.0,False,0.0,4.87,1.05,initial
2024-06-07,80.35,19.65,0.0,0.0,False,0.0,4.35,1.05,initial
2024-06-08,78.59,21.41,0.0,0.0,True,2.87,4.63,1.05,initial
2024-06-09,100.0,0.0,4.74,30.59,False,0.0,4.44,1.05,initial
2024-06-10,94.91,5.09,0.0,0.0,False,0.0,5.09,1.05,initial
2024-06-11,92.69,7.31,0.0,0.0,False,3.47,5.69,1.05,initial
2024-06-12,88.34,11.66,0.0,0.0,False,0.0,4.35,1.05,initial
2024-06-13,84.4,15.6,0.0,0.0,False,0.0,3.94,1.05,initial
2024-06-14,84.84,15.16,0.0,0.0,False,6.09,5.65,1.05,development
2024-06-15,78.69,21.31,0.0,0.0,True,0.0,6.15,1.055,development
2024-06-16,100.0,0.0,10.05,30.44,False,5.64,4.72,1.06,development
2024-06-17,96.42,3.58,0.0,0.0,False,0.0,3.58,1.065,development
2024-06-18,91.68,8.32,0.0,0.0,False,0.0,4.74,1.07,development
2024-06-19,97.8,2.2,0.0,0.0,False,11.25,5.13,1.075,development
2024-06-20,92.55,7.45,0.0,0.0,False,0.0,5.25,1.08,development
2024-06-21,100.0,0.0,9.05,0.0,False,21.04,4.54,1.085,development
2024-06-22,94.67,5.33,0.0,0.0,False,0.0,5.33,1.09,development
2024-06-23,88.97,11.03,0.0,0.0,False,0.0,5.7,1.095,development
2024-06-24,92.73,7.27,0.0,0.0,False,7.8,4.04,1.1,development
2024-06-25,93.18,6.82,0.0,0.0,False,5.98,5.53,1.105,development
2024-06-26,92.5,7.5,0.0,0.0,False,5.96,6.64,1.11,development
2024-06-27,92.86,7.14,0.0,0.0,False,5.6,5.24,1.115,development
2024-06-28,94.16,5.84,0.0,0.0,False,7.04,5.74,1.12,development
2024-06-29,100.0,0.0,6.6,0.0,False,17.59,5.15,1.125,development
2024-06-30,100.0,0.0,3.1,0.0,False,9.2,6.1,1.13,development
2024-07-01,97.49,2.51,0.0,0.0,False,1.88,4.39,1.135,development
2024-07-02,91.74,8.26,0.0,0.0,False,0.0,5.75,1.14,development
2024-07-03,86.03,13.97,0.0,0.0,False,0.0,5.71,1.145,development
2024-07-04,79.53,20.47,0.0,0.0,True,0.0,6.5,1.15,development
2024-07-05,100.0,0.0,12.54,29.24,False,9.05,5.28,1.155,development
2024-07-06,93.84,6.16,0.0,0.0,False,0.0,6.16,1.16,development
2024-07-07,88.54,11.46,0.0,0.0,False,0.0,5.3,1.165,development
2024-07-08,83.83,16.17,0.0,0.0,False,0.72,5.43,1.17,development
2024-07-09,88.54,11.46,0.0,0.0,False,10.57,5.86,1.175,development
2024-07-10,83.58,16.42,0.0,0.0,False,0.0,4.96,1.18,development
2024-07-11,81.88,18.12,0.0,0.0,False,4.31,6.01,1.185,development
2024-07-12,83.11,16.89,0.0,0.0,False,6.99,5.76,1.19,development
2024-07-13,77.88,22.12,0.0,0.0,True,0.0,5.23,1.195,development
2024-07-14,100.0,0.0,7.73,31.6,False,2.31,4.06,1.2,mid
2024-07-15,100.0,0.0,1.09,0.0,False,6.77,5.68,1.2,mid
2024-07-16,94.93,5.07,0.0,0.0,False,0.0,5.07,1.2,mid
2024-07-17,89.23,10.77,0.0,0.0,False,0.0,5.7,1.2,mid
2024-07-18,88.84,11.16,0.0,0.0,False,5.32,5.71,1.2,mid
2024-07-19,83.89,16.11,0.0,0.0,False,0.0,4.95,1.2,mid
2024-07-20,79.11,20.89,0.0,0.0,True,0.0,4.78,1.2,mid
2024-07-21,100.0,0.0,20.38,29.84,False,16.88,5.45,1.2,mid
2024-07-22,94.55,5.45,0.0,0.0,False,0.0,5.45,1.2,mid
2024-07-23,100.0,0.0,1.0,0.0,False,10.45,4.0,1.2,mid
2024-07-24,100.0,0.0,2.34,0.0,False,8.6,6.26,1.2,mid
2024-07-25,94.18,5.82,0.0,0.0,False,0.0,5.82,1.2,mid
2024-07-26,90.49,9.51,0.0,0.0,False,1.27,4.96,1.2,mid
