water_year,peak_cfs,vol_30d_cfs,peak_date
1951,126000.0,35393.333333333336,1950-12-06
1952,146000.0,40926.666666666664,1952-04-29
1953,129000.0,33613.333333333336,1952-11-23
1954,109000.0,19988.333333333332,1954-03-03
1955,207000.0,32576.666666666668,1955-08-20
1956,65200.0,27196.666666666668,1956-04-09
1957,68900.0,23116.666666666668,1957-04-07
1958,81400.0,36790.0,1958-05-07
1959,47600.0,14755.0,1959-06-05
1960,116000.0,39986.666666666664,1960-04-06
1961,110000.0,44780.0,1961-02-21
1962,114000.0,49146.666666666664,1962-03-23
1963,109000.0,47150.0,1963-03-22
1964,91300.0,31433.333333333332,1964-03-06
1965,92600.0,29683.333333333332,1965-03-07
1966,77500.0,22065.666666666668,1966-02-15
1967,139000.0,37730.0,1967-03-09
1968,75400.0,26901.666666666668,1968-05-30
1969,29100.0,10056.333333333334,1969-03-27
1970,85700.0,34630.0,1970-04-04
1971,89500.0,40170.0,1971-02-24
1972,334000.0,55806.666666666664,1972-06-24
1973,78300.0,36616.666666666664,1972-10-08
1974,100000.0,34250.0,1973-12-28
1975,186000.0,32230.0,1975-09-27
1976,87600.0,35617.0,1976-01-03
1977,194000.0,38146.666666666664,1976-10-11
1978,140000.0,49980.0,1978-03-16
1979,201000.0,55276.666666666664,1979-02-27
1980,78000.0,37733.333333333336,1979-10-12
1981,53400.0,15408.0,1981-04-15
1982,92700.0,31770.0,1982-06-15
1983,121000.0,48490.0,1983-04-26
1984,209000.0,57243.333333333336,1984-02-16
1985,82700.0,22690.333333333332,1985-02-14
1986,293000.0,46560.0,1985-11-07
1987,153000.0,45973.333333333336,1987-04-19
1988,125000.0,40980.0,1988-05-20
1989,92000.0,41463.333333333336,1989-05-18
1990,58900.0,18523.333333333332,1990-05-31
1991,96600.0,37940.0,1991-01-18
1992,93000.0,22957.333333333332,1992-04-23
1993,179000.0,73420.0,1993-03-06
1994,140000.0,71693.33333333333,1994-03-30
1995,85100.0,22797.333333333332,1995-01-17
1996,326000.0,58496.666666666664,1996-01-21
1997,95800.0,45426.0,1996-12-03
1998,140000.0,62286.666666666664,1998-03-22
1999,44700.0,19941.0,1999-03-20
2000,58400.0,19023.333333333332,2000-02-21
2001,64600.0,28003.333333333332,2001-03-23
2002,48500.0,18795.333333333332,2002-04-24
2003,150000.0,53533.333333333336,2003-09-21
2004,134000.0,37370.0,2003-12-12
2005,132000.0,37274.0,2005-03-30
2006,76600.0,19996.666666666668,2006-06-29
2007,111000.0,33056.666666666664,2007-04-17
2008,128000.0,40976.666666666664,2008-05-13
2009,117000.0,30926.666666666668,2009-05-06
2010,192000.0,47803.333333333336,2010-03-15
2011,162000.0,48960.0,2011-04-18
2012,80800.0,27863.333333333332,2011-12-09
2013,134000.0,26711.0,2012-10-31
2014,144000.0,36686.666666666664,2014-05-17
2015,58800.0,24959.0,2015-04-22
2016,109000.0,39023.333333333336,2016-02-05
2017,75700.0,27118.666666666668,2017-05-07
2018,148000.0,50500.0,2018-06-05
2019,143000.0,51310.0,2018-12-17
2020,81800.0,26600.0,2020-05-02
2021,89700.0,26160.0,2021-03-02
2022,102000.0,23716.666666666668,2022-05-09
2023,40200.0,14561.666666666666,2022-12-24
2024,82800.0,26534.333333333332,2024-04-04
